date,value
2016-05-09,1201
2016-05-10,2329
2016-05-11,1716
2016-05-12,10539
2016-05-13,6933
2016-05-14,3127
2016-05-15,2927
2016-05-16,2591
2016-05-17,3403
2016-05-18,5410
2016-05-19,19736
2016-05-20,17491
2016-05-21,13370
2016-05-22,13158
2016-05-23,13887
2016-05-24,15336
2016-05-25,14779
2016-05-26,18060
2016-05-27,19997
2016-05-28,19044
2016-05-29,20325
2016-05-30,16607
2016-05-31,16616
2016-06-01,13007
2016-06-02,10329
2016-06-03,10155
2016-06-04,7431
2016-06-05,16031
2016-06-06,16621
2016-06-07,18335
2016-06-08,18072
2016-06-09,18139
2016-06-10,17087
2016-06-11,16098
2016-06-12,16147
2016-06-13,17570
2016-06-14,19395
2016-06-15,18584
2016-06-16,17628
2016-06-17,21691
2016-06-18,21681
2016-06-19,19204
2016-06-20,28508
2016-06-21,26805
2016-06-22,21424
2016-06-23,19820
2016-06-24,19230
2016-06-25,21923
2016-06-26,22685
2016-06-27,24278
2016-06-28,21423
2016-06-29,27734
2016-06-30,26696